tunnel_num s t weight
162 0 1 67
163 0 1 32
411 0 2 100
672 0 3 100
shutdown 0 4
343 0 5 100
597 0 6 100
21 0 7 100
353 0 8 100
shutdown 0 9
32 0 10 100
289 0 11 11
290 0 11 88
shutdown 0 12
780 0 13 100
213 0 14 100
465 0 15 100
657 0 16 100
348 1 0 100
681 1 2 100
419 1 3 100
533 1 4 100
285 1 5 100
27 1 6 100
603 1 7 100
790 1 8 100
543 1 9 100
294 1 10 100
41 1 11 100
170 1 12 100
732 1 13 100
471 1 14 100
224 1 15 100
274 1 16 100
786 2 0 100
219 2 1 100
540 2 3 100
615 2 4 100
37 2 5 100
103 2 6 100
362 2 7 100
429 2 8 100
690 2 9 100
745 2 10 100
180 2 11 100
231 2 12 100
480 2 13 100
553 2 14 100
802 2 15 100
728 2 16 100
426 3 0 100
177 3 1 100
99 3 2 100
612 3 4 100
359 3 5 100
291 3 6 100
33 3 7 100
783 3 8 100
537 3 9 100
468 3 10 100
217 3 11 100
165 3 12 100
730 3 13 100
679 3 14 100
414 3 15 100
490 3 16 100
48 4 0 100
shutdown 4 1
549 4 2 100
shutdown 4 3
116 4 5 100
shutdown 4 6
628 4 7 100
423 4 8 100
shutdown 4 9
96 4 10 100
354 4 11 100
228 4 12 100
478 4 13 100
shutdown 4 14
shutdown 4 15
126 4 16 100
486 5 0 100
243 5 1 100
808 5 2 100
562 5 3 100
314 5 4 100
641 5 6 58
639 5 6 41
384 5 7 100
46 5 8 100
624 5 9 100
369 5 10 100
112 5 11 100
699 5 12 100
438 5 13 100
183 5 14 100
752 5 15 100
576 5 16 100
125 6 0 100
381 6 1 100
445 6 2 100
706 6 3 100
311 6 4 100
558 6 5 100
60 6 7 100
574 6 8 100
3 6 9 100
72 6 10 100
326 6 11 100
757 6 12 100
190 6 13 100
252 6 14 100
498 6 15 100
200 6 16 100
570 7 0 100
321 7 1 100
249 7 2 100
0 7 3 100
394 7 4 100
135 7 5 100
69 7 6 100
197 7 8 100
762 7 9 100
714 7 10 100
452 7 11 100
14 7 12 100
588 7 13 100
513 7 14 100
261 7 15 100
660 7 16 100
435 8 0 100
697 8 1 100
108 8 2 100
366 8 3 100
621 8 4 100
43 8 5 100
298 8 6 100
547 8 7 100
225 8 9 100
474 8 10 100
735 8 11 100
171 8 12 100
420 8 13 100
685 8 14 100
94 8 15 100
495 8 16 100
54 9 0 100
633 9 1 100
375 9 2 100
120 9 3 100
234 9 4 100
804 9 5 100
555 9 6 100
shutdown 9 7
432 9 8 100
747 9 10 100
484 9 11 100
620 9 12 100
363 9 13 100
107 9 14 100
693 9 15 100
132 9 16 100
493 10 0 100
753 10 1 100
814 10 2 100
shutdown 10 3
318 10 4 100
567 10 5 100
645 10 6 100
66 10 7 100
51 10 8 100
303 10 9 100
630 10 11 100
704 10 12 0
702 10 12 99
117 10 13 100
188 10 14 100
443 10 15 100
585 10 16 100
129 11 0 100
708 11 1 100
643 11 2 100
387 11 3 100
315 11 4 100
64 11 5 100
811 11 6 100
564 11 7 100
582 11 8 100
331 11 9 100
258 11 10 100
759 11 12 100
507 11 13 100
449 11 14 100
193 11 15 100
208 11 16 100
579 12 0 100
8 12 1 100
shutdown 12 2
506 12 3 100
399 12 4 100
654 12 5 100
76 12 6 100
shutdown 12 7
204 12 8 100
456 12 9 56
458 12 9 43
717 12 10 100
141 12 11 100
270 12 13 100
522 12 14 100
771 12 15 100
669 12 16 94
671 12 16 5
201 13 0 100
768 13 1 100
519 13 2 100
267 13 3 100
20 13 4 100
594 13 5 100
339 13 6 100
84 13 7 100
668 13 8 100
408 13 9 100
156 13 10 100
720 13 11 100
462 13 12 100
777 13 14 100
530 13 15 100
282 13 16 100
663 14 0 100
82 14 1 100
154 14 2 100
406 14 3 100
17 14 4 100
264 14 5 100
336 14 6 100
593 14 7 100
391 14 8 100
455 14 9 100
518 14 10 100
765 14 11 100
396 14 12 100
651 14 13 100
138 14 15 100
159 14 16 100
279 15 0 100
24 15 1 31
25 15 1 68
775 15 2 100
525 15 3 100
shutdown 15 4
677 15 5 100
600 15 6 100
345 15 7 100
610 15 8 100
402 15 9 100
333 15 10 100
80 15 11 100
459 15 12 100
210 15 13 100
150 15 14 100
379 15 16 100
793 16 0 100
144 16 1 100
648 16 2 100
57 16 3 100
276 16 4 100
147 16 5 100
9 16 6 100
711 16 7 100
636 16 8 100
501 16 9 100
510 16 10 100
738 16 11 100
724 16 12 100
240 16 13 100
237 16 14 100
800 16 15 100
