tunnel_num s t prio weight
328 0 1 l 100
324 0 1 h 100
822 0 2 l 100
822 0 2 h 100
1344 0 3 l 100
1344 0 3 h 100
179 0 4 l 100
175 0 4 h 100
684 0 5 l 100
684 0 5 h 100
1198 0 6 l 100
1194 0 6 h 100
42 0 7 l 100
42 0 7 h 100
704 0 8 l 100
703 0 8 h 100
1212 0 9 l 100
1213 0 9 h 100
61 0 10 l 100
62 0 10 h 100
581 0 11 l 100
577 0 11 h 100
1073 0 12 l 100
1070 0 12 h 100
1565 0 13 l 100
1561 0 13 h 100
throttle 0 14 l 0.019797
428 0 14 l 100
428 0 14 h 100
931 0 15 l 100
931 0 15 h 100
1314 0 16 l 100
1314 0 16 h 100
696 1 0 l 100
696 1 0 h 100
1365 1 2 l 100
1364 1 2 h 100
836 1 3 l 100
836 1 3 h 100
1062 1 4 l 100
1063 1 4 h 100
570 1 5 l 100
571 1 5 h 100
54 1 6 l 100
54 1 6 h 100
1206 1 7 l 100
1206 1 7 h 100
1578 1 8 l 100
1580 1 8 h 100
1090 1 9 l 100
1086 1 9 h 100
588 1 10 l 100
589 1 10 h 100
78 1 11 l 100
80 1 11 h 100
336 1 12 l 100
336 1 12 h 100
1464 1 13 l 100
1466 1 13 h 100
946 1 14 l 100
942 1 14 h 100
444 1 15 l 100
444 1 15 h 100
546 1 16 l 100
546 1 16 h 100
1572 2 0 l 100
1572 2 0 h 100
440 2 1 l 100
440 2 1 h 100
1080 2 3 l 100
1080 2 3 h 100
1231 2 4 l 100
1232 2 4 h 100
74 2 5 l 100
74 2 5 h 100
206 2 6 l 100
206 2 6 h 100
722 2 7 l 100
722 2 7 h 100
859 2 8 l 100
859 2 8 h 100
1380 2 9 l 100
1380 2 9 h 100
1489 2 10 l 100
1489 2 10 h 100
362 2 11 l 100
362 2 11 h 100
465 2 12 l 100
shutdown 2 12 h
shutdown 2 13 l
shutdown 2 13 h
1109 2 14 l 100
shutdown 2 14 h
1604 2 15 l 100
1604 2 15 h 100
1452 2 16 l 100
1452 2 16 h 100
852 3 0 l 100
852 3 0 h 100
357 3 1 l 100
356 3 1 h 100
198 3 2 l 100
198 3 2 h 100
1226 3 4 l 100
1226 3 4 h 100
719 3 5 l 100
716 3 5 h 100
586 3 6 l 100
584 3 6 h 100
68 3 7 l 100
68 3 7 h 100
1570 3 8 l 100
1567 3 8 h 100
1074 3 9 l 100
1074 3 9 h 100
937 3 10 l 100
937 3 10 h 100
436 3 11 l 100
434 3 11 h 100
333 3 12 l 100
332 3 12 h 100
1460 3 13 l 100
1460 3 13 h 100
1358 3 14 l 100
1358 3 14 h 100
833 3 15 l 100
830 3 15 h 100
978 3 16 l 100
978 3 16 h 100
101 4 0 l 100
97 4 0 h 100
601 4 1 l 44
603 4 1 l 55
601 4 1 h 100
throttle 4 2 l 0.412143
1101 4 2 l 100
1099 4 2 h 100
throttle 4 3 l 0.095557
1592 4 3 l 100
1592 4 3 h 100
228 4 5 l 100
229 4 5 h 100
744 4 6 l 100
745 4 6 h 100
throttle 4 7 l 0.732276
1254 4 7 l 100
1255 4 7 h 100
847 4 8 l 100
847 4 8 h 100
throttle 4 9 l 0.141874
1376 4 9 l 100
1376 4 9 h 100
192 4 10 l 100
194 4 10 h 100
709 4 11 l 100
708 4 11 h 100
456 4 12 l 100
456 4 12 h 100
954 4 13 l 100
956 4 13 h 100
1483 4 14 l 48
1484 4 14 l 51
1482 4 14 h 100
348 4 15 l 100
348 4 15 h 100
253 4 16 l 100
254 4 16 h 100
977 5 0 l 100
972 5 0 h 100
486 5 1 l 100
486 5 1 h 100
1616 5 2 l 100
1616 5 2 h 100
1127 5 3 l 100
1124 5 3 h 100
624 5 4 l 100
624 5 4 h 100
1279 5 6 l 100
1279 5 6 h 100
throttle 5 7 l 0.169723
768 5 7 l 100
769 5 7 h 100
92 5 8 l 100
92 5 8 h 100
1249 5 9 l 47
1252 5 9 l 52
1249 5 9 h 100
738 5 10 l 100
738 5 10 h 100
222 5 11 l 100
222 5 11 h 100
1402 5 12 l 100
1398 5 12 h 100
879 5 13 l 100
876 5 13 h 100
368 5 14 l 100
367 5 14 h 100
1500 5 15 l 100
1501 5 15 h 100
1152 5 16 l 100
1152 5 16 h 100
250 6 0 l 100
246 6 0 h 100
762 6 1 l 100
763 6 1 h 100
890 6 2 l 100
890 6 2 h 100
1414 6 3 l 100
1412 6 3 h 100
618 6 4 l 100
619 6 4 h 100
1116 6 5 l 100
1116 6 5 h 100
120 6 7 l 100
120 6 7 h 100
1146 6 8 l 100
1148 6 8 h 100
10 6 9 l 100
6 6 9 h 100
144 6 10 l 100
144 6 10 h 100
648 6 11 l 100
649 6 11 h 100
1512 6 12 l 100
1514 6 12 h 100
378 6 13 l 100
380 6 13 h 100
504 6 14 l 100
506 6 14 h 100
996 6 15 l 100
997 6 15 h 100
396 6 16 l 100
396 6 16 h 100
1140 7 0 l 100
1140 7 0 h 100
642 7 1 l 100
643 7 1 h 100
500 7 2 l 100
500 7 2 h 100
2 7 3 l 100
2 7 3 h 100
789 7 4 l 100
787 7 4 h 100
270 7 5 l 100
271 7 5 h 100
142 7 6 l 100
138 7 6 h 100
390 7 8 l 100
391 7 8 h 100
1526 7 9 l 100
1524 7 9 h 100
1428 7 10 l 100
1429 7 10 h 100
900 7 11 l 100
900 7 11 h 100
24 7 12 l 100
24 7 12 h 100
1180 7 13 l 100
1176 7 13 h 100
