tunnel_num s t prio weight
324 0 1 l 100
324 0 1 h 100
822 0 2 l 100
822 0 2 h 100
1344 0 3 l 100
1344 0 3 h 100
179 0 4 l 100
176 0 4 h 100
689 0 5 l 100
684 0 5 h 100
1198 0 6 l 100
1194 0 6 h 100
42 0 7 l 100
42 0 7 h 100
703 0 8 l 100
703 0 8 h 100
1212 0 9 l 100
1212 0 9 h 100
61 0 10 l 41
62 0 10 l 58
61 0 10 h 100
577 0 11 l 100
577 0 11 h 100
1071 0 12 l 100
1070 0 12 h 100
1565 0 13 l 100
1560 0 13 h 100
428 0 14 l 72
429 0 14 l 27
428 0 14 h 100
931 0 15 l 100
931 0 15 h 100
1314 0 16 l 100
1314 0 16 h 100
696 1 0 l 100
696 1 0 h 100
1364 1 2 l 100
1364 1 2 h 100
836 1 3 l 100
836 1 3 h 100
1062 1 4 l 100
1063 1 4 h 100
570 1 5 l 100
571 1 5 h 100
54 1 6 l 100
55 1 6 h 100
1209 1 7 l 100
1207 1 7 h 100
1578 1 8 l 100
1578 1 8 h 100
1086 1 9 l 100
1086 1 9 h 100
588 1 10 l 100
588 1 10 h 100
78 1 11 l 100
79 1 11 h 100
336 1 12 l 100
336 1 12 h 100
1464 1 13 l 100
1466 1 13 h 100
942 1 14 l 100
942 1 14 h 100
444 1 15 l 100
444 1 15 h 100
546 1 16 l 100
546 1 16 h 100
1572 2 0 l 100
1572 2 0 h 100
440 2 1 l 100
440 2 1 h 100
1080 2 3 l 100
1080 2 3 h 100
1233 2 4 l 100
1231 2 4 h 100
77 2 5 l 100
74 2 5 h 100
208 2 6 l 100
206 2 6 h 100
722 2 7 l 100
722 2 7 h 100
859 2 8 l 100
860 2 8 h 100
1380 2 9 l 100
1380 2 9 h 100
1489 2 10 l 100
1490 2 10 h 100
362 2 11 l 100
362 2 11 h 100
462 2 12 l 100
462 2 12 h 100
960 2 13 l 100
960 2 13 h 100
1106 2 14 l 100
1106 2 14 h 100
1604 2 15 l 100
1604 2 15 h 100
1452 2 16 l 100
1452 2 16 h 100
852 3 0 l 100
852 3 0 h 100
356 3 1 l 100
356 3 1 h 100
198 3 2 l 100
198 3 2 h 100
1225 3 4 l 100
1225 3 4 h 100
716 3 5 l 100
716 3 5 h 100
584 3 6 l 100
584 3 6 h 100
68 3 7 l 100
68 3 7 h 100
1567 3 8 l 100
1568 3 8 h 100
1074 3 9 l 100
1076 3 9 h 100
937 3 10 l 100
938 3 10 h 100
434 3 11 l 100
433 3 11 h 100
334 3 12 l 100
330 3 12 h 100
1460 3 13 l 100
1458 3 13 h 100
1359 3 14 l 100
1358 3 14 h 100
830 3 15 l 100
830 3 15 h 100
978 3 16 l 100
978 3 16 h 100
throttle 4 0 l 0.079435
97 4 0 l 100
98 4 0 h 100
600 4 1 l 100
601 4 1 h 100
throttle 4 2 l 0.412143
1100 4 2 l 76
1103 4 2 l 23
1100 4 2 h 100
throttle 4 3 l 0.095557
1595 4 3 l 100
1592 4 3 h 100
231 4 5 l 100
229 4 5 h 100
744 4 6 l 100
744 4 6 h 100
throttle 4 7 l 0.735582
1254 4 7 l 100
1255 4 7 h 100
846 4 8 l 100
846 4 8 h 100
throttle 4 9 l 0.570937
1375 4 9 l 100
1376 4 9 h 100
194 4 10 l 100
192 4 10 h 100
708 4 11 l 100
708 4 11 h 100
457 4 12 l 100
457 4 12 h 100
957 4 13 l 25
958 4 13 l 74
954 4 13 h 100
1484 4 14 l 100
1482 4 14 h 100
348 4 15 l 100
348 4 15 h 100
257 4 16 l 100
254 4 16 h 100
972 5 0 l 100
972 5 0 h 100
486 5 1 l 100
487 5 1 h 100
1617 5 2 l 100
1616 5 2 h 100
1125 5 3 l 100
1124 5 3 h 100
624 5 4 l 100
624 5 4 h 100
1281 5 6 l 100
1278 5 6 h 100
throttle 5 7 l 0.169723
773 5 7 l 100
769 5 7 h 100
90 5 8 l 100
90 5 8 h 100
1251 5 9 l 100
1249 5 9 h 100
738 5 10 l 100
739 5 10 h 100
222 5 11 l 100
223 5 11 h 100
1403 5 12 l 100
1399 5 12 h 100
880 5 13 l 100
876 5 13 h 100
366 5 14 l 100
366 5 14 h 100
1500 5 15 l 100
1502 5 15 h 100
1152 5 16 l 100
1152 5 16 h 100
246 6 0 l 100
246 6 0 h 100
762 6 1 l 100
763 6 1 h 100
890 6 2 l 100
890 6 2 h 100
1412 6 3 l 100
1412 6 3 h 100
618 6 4 l 100
619 6 4 h 100
1116 6 5 l 100
1117 6 5 h 100
124 6 7 l 100
120 6 7 h 100
1146 6 8 l 100
1146 6 8 h 100
6 6 9 l 100
6 6 9 h 100
144 6 10 l 100
145 6 10 h 100
648 6 11 l 100
650 6 11 h 100
1512 6 12 l 100
1513 6 12 h 100
378 6 13 l 100
380 6 13 h 100
504 6 14 l 100
506 6 14 h 100
996 6 15 l 100
998 6 15 h 100
396 6 16 l 100
396 6 16 h 100
1140 7 0 l 100
1140 7 0 h 100
642 7 1 l 100
642 7 1 h 100
500 7 2 l 100
500 7 2 h 100
2 7 3 l 100
2 7 3 h 100
789 7 4 l 100
787 7 4 h 100
271 7 5 l 100
271 7 5 h 100
138 7 6 l 100
138 7 6 h 100
390 7 8 l 100
391 7 8 h 100
1526 7 9 l 100
1526 7 9 h 100
1429 7 10 l 100
1428 7 10 h 100
900 7 11 l 100
901 7 11 h 100
25 7 12 l 100
26 7 12 h 100
1180 7 13 l 100
1178 7 13 h 100
1030 7 14 l 100
1027 7 14 h 100
522 7 15 l 100
523 7 15 h 100
1323 7 16 l 100
1322 7 16 h 100
871 8 0 l 100
871 8 0 h 100
1394 8 1 l 100
1392 8 1 h 100
220 8 2 l 100
218 8 2 h 100
