tunnel_num s t weight
162 0 1 50
163 0 1 50
throttle 0 2 0.399855
411 0 2 100
throttle 0 3 0.399855
672 0 3 100
89 0 4 50
87 0 4 50
342 0 5 50
343 0 5 50
throttle 0 6 0.399855
597 0 6 100
throttle 0 7 0.399855
21 0 7 100
352 0 8 50
353 0 8 50
606 0 9 50
607 0 9 50
32 0 10 33
30 0 10 33
31 0 10 33
289 0 11 50
290 0 11 50
shutdown 0 12
throttle 0 13 0.399855
781 0 13 100
213 0 14 50
214 0 14 50
465 0 15 50
466 0 15 50
657 0 16 50
658 0 16 50
348 1 0 50
350 1 0 50
681 1 2 50
683 1 2 50
417 1 3 50
418 1 3 50
throttle 1 4 0.399855
531 1 4 100
throttle 1 5 0.399855
285 1 5 100
throttle 1 6 0.399855
27 1 6 100
603 1 7 50
604 1 7 50
790 1 8 100
throttle 1 9 0.399855
543 1 9 100
throttle 1 10 0.399855
294 1 10 100
throttle 1 11 0.399855
39 1 11 100
shutdown 1 12
throttle 1 13 0.399855
733 1 13 100
473 1 14 5
471 1 14 94
222 1 15 50
223 1 15 50
throttle 1 16 0.399855
273 1 16 100
throttle 2 0 0.399855
786 2 0 100
219 2 1 46
220 2 1 3
221 2 1 50
throttle 2 3 0.399855
540 2 3 100
616 2 4 49
615 2 4 50
36 2 5 50
38 2 5 50
throttle 2 6 0.399855
103 2 6 100
throttle 2 7 0.399855
360 2 7 100
429 2 8 10
430 2 8 89
throttle 2 9 0.399855
690 2 9 100
744 2 10 47
745 2 10 52
180 2 11 50
181 2 11 50
throttle 2 12 0.399855
232 2 12 100
throttle 2 13 0.399855
481 2 13 100
throttle 2 14 0.399855
552 2 14 100
throttle 2 15 0.399855
803 2 15 100
throttle 2 16 0.399855
726 2 16 100
426 3 0 100
177 3 1 50
179 3 1 50
throttle 3 2 0.399855
99 3 2 100
throttle 3 4 0.399855
614 3 4 100
357 3 5 50
358 3 5 50
throttle 3 6 0.399855
291 3 6 100
throttle 3 7 0.399855
33 3 7 100
784 3 8 50
783 3 8 50
537 3 9 98
538 3 9 1
throttle 3 10 0.399855
468 3 10 100
216 3 11 50
217 3 11 50
165 3 12 50
166 3 12 50
throttle 3 13 0.399855
730 3 13 100
678 3 14 50
679 3 14 50
414 3 15 50
415 3 15 50
489 3 16 50
490 3 16 50
48 4 0 50
50 4 0 50
throttle 4 1 0.399855
300 4 1 100
549 4 2 50
550 4 2 50
795 4 3 50
797 4 3 49
throttle 4 5 0.399855
114 4 5 100
throttle 4 6 0.399855
373 4 6 100
628 4 7 50
629 4 7 49
424 4 8 50
423 4 8 50
689 4 9 50
687 4 9 50
96 4 10 50
98 4 10 50
354 4 11 50
355 4 11 50
228 4 12 49
229 4 12 50
477 4 13 50
478 4 13 50
741 4 14 50
743 4 14 50
176 4 15 49
175 4 15 50
128 4 16 49
126 4 16 50
486 5 0 49
487 5 0 50
throttle 5 1 0.399855
243 5 1 100
809 5 2 50
807 5 2 50
561 5 3 50
562 5 3 50
throttle 5 4 0.399855
312 5 4 100
641 5 6 78
639 5 6 21
384 5 7 50
385 5 7 50
45 5 8 50
46 5 8 50
throttle 5 9 0.399855
625 5 9 100
